<header>
line_info=time	lotid	substrateid	slot	recipe	product	step	stepname	rsd_01	rsd_02	rsd_03	rsd_04	rsd_05	rsd_06	rsd_07	rsd_08	rsd_09	rsd_10	rsd_11	rsd_12	rsd_13	rsd_14	rsd_15	rsd_16	rsd_17	rsd_18	rsd_19	rsd_20	status
svid_info=299	279	294	297	280	274	286	285	300	272	292	287	284	275	283	DQ	288	282	273	276	281	277	296	295	298	289	271	290	291	278	293
param_info=Exhaust_Temperature	Device_Manager_Exception_Detail_Warning_Dry_Pump	Coolant_Flow_Dry_Main_Booster	Inlet_Pressure_Dry_Pump	Device_Manager_Exception_Detail_Warning_Booster	Actuator-VP1_Pump_State_Main_Booster	Main_Booster_Temperature_2	Main_Booster_Temperature	Run_Hour	Pump_Co-Ordinated_Mode_Status	Purge_Gas_Flow_Main_Booster	Dry_Pump_Current	Dry_Pump_Temperature_2	Fast_Stop_Enabled	Dry_Pump_Temperature_1	DATA_QUALITY_1	Main_Booster_Current	Main_Booster_Speed	Actuator-VP1_Pump_State_Dry_Pump	Idle_Mode_Capable	Dry_Pump_Speed	Device_Manager_Exception_Detail_Alarm_Dry_Pump	Exhaust_Pressure_Main_Booster	Exhaust_Pressure_Dry_Pump	Inlet_Pressure_Main_Booster	Dry_Pump_Power	Pump_Access_Mode_Status	Main_Booster_Power	Purge_Gas_Flow_Dry_Pump	Device_Manager_Exception_Detail_Alarm_Booster	Coolant_Flow_Dry_Pump
param_name=Exhaust_Temperature	Device_Manager_Exception_Detail_Warning_Dry_Pump	Coolant_Flow_Dry_Main_Booster	Inlet_Pressure_Dry_Pump	Device_Manager_Exception_Detail_Warning_Booster	Actuator-VP1_Pump_State_Main_Booster	Main_Booster_Temperature_2	Main_Booster_Temperature	Run_Hour	Pump_Co-Ordinated_Mode_Status	Purge_Gas_Flow_Main_Booster	Dry_Pump_Current	Dry_Pump_Temperature_2	Fast_Stop_Enabled	Dry_Pump_Temperature_1	DATA_QUALITY_1	Main_Booster_Current	Main_Booster_Speed	Actuator-VP1_Pump_State_Dry_Pump	Idle_Mode_Capable	Dry_Pump_Speed	Device_Manager_Exception_Detail_Alarm_Dry_Pump	Exhaust_Pressure_Main_Booster	Exhaust_Pressure_Dry_Pump	Inlet_Pressure_Main_Booster	Dry_Pump_Power	Pump_Access_Mode_Status	Main_Booster_Power	Purge_Gas_Flow_Dry_Pump	Device_Manager_Exception_Detail_Alarm_Booster	Coolant_Flow_Dry_Pump
data_type_cd=FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT
unit=¡ÆC			kPa			¡ÆC	¡ÆC	Hour			A	¡ÆC		¡ÆC	%	A	%			%			kPa		kW		kW	litres/Min		litres/Min
mspc_info
</header>
time	2021-02-17 06:07:02.611	2021-02-17 06:08:02.607	2021-02-17 06:09:02.564	2021-02-17 06:10:02.561	2021-02-17 06:11:02.645	2021-02-17 06:12:02.584	2021-02-17 06:13:01.983	2021-02-17 06:14:02.586	2021-02-17 06:15:02.571	2021-02-17 06:16:02.608	2021-02-17 06:17:02.626	2021-02-17 06:18:02.599	2021-02-17 06:19:02.567	2021-02-17 06:20:02.621	2021-02-17 06:21:02.545	2021-02-17 06:22:02.540	2021-02-17 06:23:02.580	2021-02-17 06:24:02.605	2021-02-17 06:25:02.514	2021-02-17 06:26:02.624	2021-02-17 06:27:02.682	2021-02-17 06:28:02.568	2021-02-17 06:29:02.469	2021-02-17 06:30:02.654	2021-02-17 06:31:02.580	2021-02-17 06:32:01.746	2021-02-17 06:33:02.559	2021-02-17 06:34:02.598	2021-02-17 06:35:02.641	2021-02-17 06:36:02.572	2021-02-17 06:37:02.636	2021-02-17 06:38:02.731	2021-02-17 06:39:02.574	2021-02-17 06:40:01.711	2021-02-17 06:41:01.829	2021-02-17 06:42:02.616	2021-02-17 06:43:02.574	2021-02-17 06:44:01.727	2021-02-17 06:45:01.708	2021-02-17 06:46:02.484	2021-02-17 06:47:02.658	2021-02-17 06:48:02.733	2021-02-17 06:49:01.659	2021-02-17 06:50:02.764	2021-02-17 06:51:02.631	2021-02-17 06:52:02.644	2021-02-17 06:53:02.629	2021-02-17 06:54:01.643	2021-02-17 06:55:02.668	2021-02-17 06:56:02.630	2021-02-17 06:57:02.677	2021-02-17 06:58:01.685	2021-02-17 06:59:01.664	2021-02-17 07:00:02.696	2021-02-17 07:01:02.644	2021-02-17 07:02:02.279	2021-02-17 07:03:02.733	2021-02-17 07:04:02.719	2021-02-17 07:05:02.708
Exhaust_Temperature	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@
Device_Manager_Exception_Detail_Warning_Dry_Pump	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@
Coolant_Flow_Dry_Main_Booster	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@
Inlet_Pressure_Dry_Pump	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@
Device_Manager_Exception_Detail_Warning_Booster	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@
Actuator-VP1_Pump_State_Main_Booster	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@
Main_Booster_Temperature_2	76.5@	79.7@	77.1@	80.1@	78.1@	77.0@	79.3@	76.5@	80.0@	77.7@	78.7@	78.8@	76.1@	79.7@	77.0@	80.4@	77.9@	77.4@	79.0@	76.3@	79.9@	77.4@	79.2@	78.6@	76.4@	79.7@	77.0@	80.0@	78.4@	76.5@	79.3@	76.9@	80.2@	78.2@	76.9@	79.2@	76.8@	80.3@	78.1@	77.1@	79.1@	75.4@	79.4@	76.5@	80.1@	77.4@	78.7@	78.5@	76.4@	79.1@	76.2@	79.5@	79.9@	78.1@	77.8@	78.5@	76.4@	77.5@	80.3@
Main_Booster_Temperature	88.3@	88.3@	88.3@	88.6@	88.7@	88.2@	88.1@	88.2@	88.5@	88.8@	88.1@	88.2@	88.5@	88.8@	89.1@	88.5@	88.6@	88.9@	89.1@	89.2@	88.7@	88.8@	89.2@	89.2@	89.3@	88.8@	88.9@	89.1@	89.1@	89.3@	89.0@	89.0@	89.0@	89.1@	89.3@	89.2@	88.9@	88.8@	89.0@	89.2@	89.4@	88.7@	88.5@	88.4@	88.2@	88.0@	87.0@	86.8@	86.6@	86.5@	86.3@	85.3@	85.1@	85.0@	84.9@	84.8@	83.9@	83.6@	83.5@
Run_Hour	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13818.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@	13821.0@
Pump_Co-Ordinated_Mode_Status	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@	0.0@
Purge_Gas_Flow_Main_Booster	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@	3276.8@
Dry_Pump_Current	15.2@	15.6@	15.9@	15.9@	15.8@	15.0@	15.4@	15.9@	15.8@	15.0@	15.8@	15.5@	15.5@	15.8@	15.6@	15.4@	15.5@	15.7@	15.5@	15.9@	15.8@	15.8@	15.0@	15.5@	15.9@	15.8@	15.0@	15.2@	15.5@	15.5@	16.0@	15.0@	15.3@	15.8@	16.0@	15.0@	15.1@	15.6@	15.7@	16.0@	14.9@	15.0@	14.8@	15.1@	15.0@	15.2@	14.9@	15.0@	15.1@	15.1@	15.1@	14.9@	14.9@	15.0@	15.0@	15.1@	15.1@	15.0@	15.2@
Dry_Pump_Temperature_2	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@	-3276.8@
Fast_Stop_Enabled	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@
Dry_Pump_Temperature_1	138.8@	137.1@	135.2@	137.1@	139.3@	136.2@	139.5@	136.5@	139.9@	135.0@	140.2@	135.2@	140.1@	136.0@	140.0@	136.4@	139.6@	136.8@	140.2@	137.3@	137.9@	137.2@	136.6@	138.1@	136.6@	137.7@	134.1@	138.3@	133.6@	138.4@	133.3@	138.9@	133.7@	139.3@	134.4@	139.2@	134.7@	139.6@	134.1@	139.0@	133.7@	139.3@	133.9@	139.5@	133.9@	139.6@	134.7@	139.5@	134.3@	139.2@	134.5@	139.4@	133.9@	139.3@	134.1@	139.3@	133.8@	139.3@	133.8@
DATA_QUALITY_1	54.93092888171363@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@
Main_Booster_Current	4.3@	5.0@	5.9@	6.5@	6.6@	4.1@	5.5@	6.0@	6.6@	4.8@	5.5@	5.5@	5.5@	5.5@	5.4@	5.6@	5.5@	5.5@	5.2@	6.1@	6.1@	6.2@	4.3@	5.2@	5.9@	6.6@	4.6@	4.2@	5.6@	4.3@	6.5@	4.2@	5.1@	6.0@	6.5@	4.7@	4.2@	5.4@	6.0@	6.6@	4.2@	4.2@	4.2@	4.2@	4.2@	4.2@	4.3@	4.3@	4.3@	4.2@	4.3@	4.2@	4.3@	4.3@	4.3@	4.2@	4.2@	4.2@	4.3@
Main_Booster_Speed	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@	99.9@
Actuator-VP1_Pump_State_Dry_Pump	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@
Idle_Mode_Capable	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@	1.0@
Dry_Pump_Speed	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	99.9@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@	100.0@
